,sentence1,sentence2
37,4入組 奇蒂可 心型限定款 台灣製手工製珪藻土除濕除臭防霉塊,4-pieces-set Qidike Hand-Made Diatomaceous Earth Exclusive Love Heart
38,【20200714直播限定KOL】beaulace S曲羨浮華特仕版 成套平口馬甲塑身衣 乾燥玫瑰,
39,【20200505直播限定KOL】beaulace,
40,heme 經典柔霧唇膏 靄光系列 4色,heme Twilight Velvet Lipstick 4 colors
41,Solone 雪紡絲絨霧面唇釉 6色,Solone Chiffon Velvet Lip 6 Colors
42,Solone 極潤緞光唇膏 6色,Solone Rouge Kissable Lip 6 Colors
43,韓式作風 iPhone系列 軍事盔甲磁吸指環支架防摔手機殼 6色,rootfocus iPhone Series Rugged Ring Phone Case Holder
44,Double Doctor 升級版 雪絨花金萃胜肽精華液30ml×2 送護膚旅行試用包×8,Double Doctor Edelweiss Peptide Moisturizing Essence(30ml×2) Free Lotion(15ml)+Emulsion(15ml)+Whitening Cream(3ml×3)+Makeup Removal(5ml×3)
45,FS直播限定！Paradiso Garden 仙履蘭天堂奇蹟活膚液120ml  送仙卸精華20ml,FS Live Limited！Paradiso Garden Paphiopedilum Revitalizing Toner(120ml) Free Paphiopedilum Makeup Remover(20ml)
46,Paradiso Garden 仙履蘭Q嫩淨白組,
47,韓式作風 iPhone系列 9D雙曲面疏油疏水抗指紋防偷窺鋼化膜 2色,rootfocus iPhone Series 9D No Peeking Ballistic Tempered Screen Protector 2 colors
48,4入組 奇蒂可 台灣製 秒吸擴香珪藻土除濕除臭防霉塊動物腳ㄚ 9種香味,4-pieces-set Qidike Diffuser Diatomaceous Earth Paw Print 9 Flavors
49,超值限定組 HH 私密植萃抗菌潔淨露200ml+抗菌潔淨露旅行4入組 香味可任選,
50,韓式作風 SAMSUNG系列 復古花藝圖騰邊框鑲鑽腕帶支架手機殼 4色,rootfocus Samsung Series Rugged Phone Ring Case Holder
51,買5送3 KGCHECK 高纖飽足沖泡餐5盒組 送荷卡廚坊酸辣海鮮風味濃湯麵3杯,Buy 5 Free 3 KGCHECK Detox Natural Oat Meal 5 boxes Free Sour Spicy Seafood Instant Cream Soup Pasta 3 pcs
52,48H Flash Sale 買2送3 SNOW肌光珍珠粉2盒 送漢方仙輕茶飲3包 口味隨機,Buy 2 Free 3 SNOW Pearl Powder 2-Boxes-Set Free Hanfang Tea 3 pcs Random Flavor
53,Flash Sale 買3送3 DV醇養妍美白飲3盒組 送玻尿酸保濕面膜3盒,
54,11.11訂金翻倍 德國alkmene 超值好評系列組合,
55,Loving Family 樂芙竹炭紗負離子 異味除臭雙人涼被 金色款,
56,私藏生活 USB2.0 衣物真空機 輕巧8cm 2色可選 送真空機專用小衣物袋5入×2,"Enjoy The Life Mini Vacuum Valve(8cm, 2 Colours) Free Small Vacuum Valve bag(5 pcs×2)"
57,買1送1 Laler 日夜爆燃加量版 買日日送夜夜 再送野菜纖維代謝飲1包,Buy 1 Free 1 Control Weight Mushroom Capsules 30pcs/box Free Species Veggie Fiber Drink 1pc
58,DV 青春凍齡特惠11件組 賈靜雯推薦,Alyssa Chia Recommend DV Resverratrol 11-Pieces-Set
59,超值2入組 寶媽咪 日本雙面增壓節水SPA花灑 自由填充設計 正貨保證,
60,買1送2 Neogence 極透光亮白淡斑精華 30ml 送積雪草精華2ml+積雪草凝乳2ml,Buy 1 Free 2 Neogence Brightening Spot Corrector Serum 30ml Free Essence 2ml+Emulsion 2ml
61,HaWoooStore 森田药粧 DR.JOU六重玻尿酸极水润化妆水 150ml,HaWoooStore Dr.Morita DR.JOU Six Essence Hyaluronic Acid Moisturizing Lotion 150ml
62,FS直播日限定！特價半價優惠 森田藥粧 DR.JOU六重玻尿酸極水潤精華液 100ml,FS Live Limited！Dr.Morita DR.JOU Six Essence Hyaluronic Acid Moisturizing Serum(100ml)
63,HaWoooStore 森田药粧 DR.JOU六重玻尿酸极水润精华乳 150ml,HaWoooStore Dr.Morita DR.JOU Six Essence Hyaluronic Acid Moisturizing Emulsion(150ml)
64,直播日限定！2盒組 CHECK2CHECK IVENOR櫻花姬白防曬錠 30粒/盒,Live Limited！2-Boxes-Set CHECK2CHECK iVENOR SAKURA UV Whitening Tablet(30/tabs/box)
65,2入組 寶島阿里山夠滾珠精油 60ml,
66,2盒組 VIVI PAM 金盞花瞬效水光賦活面膜 5片/盒,2-Boxes-Set VIVI PAM Calendula Moisturizing & Revitalizing Facial Mask (5 pcs/box)
67,木酢達人 私密達！私密清潔露 200g,Natural Wood Feminine Intimate Wash(200g)
68,森田藥粧 DR.JOU六重玻尿酸極水潤潔面泡泡 145ml,Dr.Morita DR.JOU Six Essence Hyaluronic Acid Moisturizing Foaming Wash 145ml
69,買1送1 木酢達人 木酢全效洗衣精 1000ml 送木酢消臭抑菌噴劑 60ml,Buy 1 Free 1 Natural Wood Washing Liquid 1000ml Free Antibacterial Spray 60ml
70,Dayla 不暈染防水眼妝2件組,Dayla Curling Mascara 8g+Ultra Thin Liquid Eyeliner
71,買1送1 CITY COLOR NEW升級版 葛萊美定妝噴霧 75ml,Buy 1 Free 1 CITY COLOR Matte Setting Spray 75ml
72,聖誕限定 SNZ 唇露護手霜禮盒2件組,Xmas Limited SNZ Color Artist Lip Crystal Dew Oat Oil Lotion 2-Pieces Set
73,Clearance Offer 買1送1 DV 聰蓉活力飲 10包/盒,
74,FS限定！買2送1 限量60組 DV 蔬暢輕飲粉包 10包/盒,FS Limited！Buy 2 Get 1 Free DV Vegetable Drink Powder(10 pack/ box)
75,2入組 Dore Dore 朵朵黑鑽石 日本果酸煥膚醫美皂 80g 王思佳推薦,2 Pieces Set Dore Dore DeAU Peel Soap 80g
76,買3送1 熊鑽黑糖任選3袋 送經典原味1袋,Buy 3 Free 1 Taiwan Teaman Brown Sugar Block 132g Free Brown Sugar Block Original Flavor 132g
77,CITY COLOR 聖誕節限定買彩盤 送黑色眼線水筆,CITY COLOR  Christmas Limited Color Plate Free Black Eyeliner
78,買12送2 DV 醇養妍皇家野櫻莓 10包/盒 賈靜雯推薦,Buy 12 Free 2 DV Resveratrol 10 pcs/box Alyssa Chia recommend
79,買2送2 阿嬤的配方 毛毛ByeBye霜 100ml×2 送嫩白足香噴霧 150g+嬰兒肌極嫩水感美足膜,Buy 2 Free 2 Grandmotherapy Hair Removal Cream-Lavender Oil 100ml×2 Free Beauty Soothing Fragrance Spray 150g+Foot Mask
80,Ready to Shine 童話彩盤,Ready to Shine Fairy Tale Contour Palette
81,CATISS 聖誕節限定 We Can Love 罐罐禮盒5件組,CATISS We Can Love X'mas Set 5-pieces-set
82,4入組 奇蒂可 萌呆魚限定款 台灣製 秒吸擴香珪藻土除濕除臭防霉塊  13種香味,4-pieces-set Qidike Diffuser Diatomaceous Earth Lovely fish Dehumid Mint 13 Flavors
83,3入組 奇蒂可 除濕除臭珪藻土萬用鞋粉 40g 台灣製,3-pieces-set Qidike Algae Deodorant Powder 40g 3 Flavors
84,Xmas限定 HH 防蚊液 100ml+修復霜 40g,Xmas Limited HH Antibacterial Anti-Mosquito Liquid 100ml+Repairing Cream 40g
85,Xmas限定 HH除菌液350ml+泡泡浴露500g,Xmas Limited HH HCLO+Dedicated Sterilizing Liquid+Buble Bath 500g
86,必買3件組 HH 私密潔淨露+舒緩噴霧+手洗精 可任選,HH Feminine Intimate Antibacterial Wash(200ml)+Soothing Spray(50ml)+Hand-Wash For Female Panties(200ml)
87,CHECK2CHECK BODYLUV 韓國香氛濾芯 任選2入,CHECK2CHEC KBODYLUV Vita Milk Shower Selecet 2 pcs
88,Mom's Day Flash Sale 抗菌加強組 HH 私密抗菌潔淨慕斯180ml(香味選1)+經期舒緩噴霧PLUS,Mom's Day Flash Sale HH Cleaning Mousse(180ml)+Cranberry Spray PLUS(30ml)
89,FS直播限定！CONTIN 超值酵素植萃洗髮乳300ml×2 加送試用包10ml×8 價值RM32.00,FS Live Limited！CONTIN Enyme Plant Extract Sampoo(300ml×2) Free Trial Pack(10ml×8)
90,【20201029直播限定】買1送1 HH 寶貝燕麥奇異修復霜 40g,
91,買1送1 HH 寶貝燕麥敏弱全護面霜 40g,Buy 1 Free 1 HH Facial Cream 40g
92,Tsuvimi 姿慧美 2019 Xmas 4件組,Tsuvimi 2019 Xmas 4-pieces-set
93,韓式作風 SAMSUNG系列 雙色漸變四角加固防摔手機殼 6色,rootfocus Samsung Series Color Gradient Rugged TPU Phone Case 6 Colors
94,2019 Xmas限定 Tsuvimi 姿慧美眼唇彩妝3件組,Tsuvimi 2019 Xmas 3-pieces-set
95,守護馬桶大使 寶媽咪 日本魚形馬桶洗淨劑 洗淨 除菌 消臭 一入解決 150ml,Bao-Mommy Japan Fish-Shaped Toilet Cleanser(150ml)
96,Tsuvimi 姿慧美 第二代不沾杯持久唇彩 B18 魔幻迷都,Tsuvimi Shining Long Lasting Lip Gloss B18
97,Tsuvimi 姿慧美 第二代不沾杯持久唇彩 B17 沈醉巴黎,Tsuvimi Shining Long Lasting Lip Gloss B17
98,Tsuvimi 姿慧美 第二代不沾杯持久唇彩 B16 波斯帝國,Tsuvimi Shining Long Lasting Lip Gloss B16
99,Tsuvimi 姿慧美 第二代不沾杯持久唇彩 B15 乾燥玫瑰,Tsuvimi Shining Long Lasting Lip Gloss B15
100,Tsuvimi 姿慧美 第二代不沾杯持久唇彩 B14 午後奶茶,Tsuvimi Shining Long Lasting Lip Gloss B14
101,Tsuvimi 姿慧美 第二代不沾杯持久唇彩 B13 香橙貝果,Tsuvimi Shining Long Lasting Lip Gloss B13
102,CATISS We Can Love 禮盒5件組 澎湃主食系列 唇膏任選,5-pieces-set CATISS We Can Love 2019 X'mas Set
103,韓式作風 SAMSUNG系列 彩色大理石紋透明邊支架手機殼 5色,rootfocus Samsung Series Marbling Rugged TPU Phone Case 5 Colors
104,韓式作風 SAMSUNG系列 親膚矽膠防污防摔全包手機殼 7色,rootfocus Samsung Series Rugged Silicone Phone Case 7 Colors
105,私藏生活 防窺王磁吸手機殼 iphone系列 3色,Enjoy The Life Anti-Peeping Phone Case iphone Series 3 colors
106,韓式作風 SAMSUNG系列 時尚布紋插卡設計腕帶支架手機殼 5色,rootfocus Samsung Series Rugged Phone Ring Case Holder 5 Colors
107,私藏生活 特務J PRO系列 無線藍芽耳機 4種顏色可選,Enjoy The Life SpyJ Wireless Bluetooth Headset 4 Styles
108,CATISS We Can Love 禮盒5件組 小資副食系列 唇膏任選,5-pieces-set CATISS We Can Love 2019
109,私藏生活 聖誕麋鹿加濕夜燈 2種顏色可選,Enjoy The Life Christmas Deer Humidifier 2 Styles
110,CATISS 櫻花限定 眼膜唇膏保養組,CATISS Cherry Blossom Limited-Lip Balm And Eye Mask Combination
111,私藏生活 3D雕刻水晶夜燈 9款,Enjoy The Life Crystal Night Light 9 Styles
112,Loving Family 60支天絲 雙人床包含2件枕套 爵色風華,Loving Family Double Beds Sheets With Two Pillowcases
113,heme 輕吻絲絨唇釉 09優雅 Elegant,heme Velvet Lip Liquid-09 Elegant
114,heme 輕吻絲絨唇釉 08守候 Expect,heme Velvet Lip Liquid-08 Expect
115,韓式作風 HUAWEI系列 撞色潮流三段式拼接全包手機殼 9色,rootfocus HUAWEI Series Camera Style TPU Phone Case 9 Colors
116,韓式作風 HUAWEI系列 超火復古藍光相機造型公仔氣囊支架手機殼 2色,rootfocus HUAWEI Series Camera Style TPU Phone Case 2 Colors
117,韓式作風 HUAWEI系列 夜光彩繪防摔鋼化玻璃手機殼 7色,rootfocus HUAWEI Series Night Airglow Ballistic Tempered Glass Screen Phone Case 7 Colors
118,eDELE MIT甜蜜圓舞曲蕾絲內褲 灰 L-XL,eDELE MIT Sweet Dancing Lace Panties Gray L-XL
119,韓式作風 HUAWEI系列 萬磁王百變磁吸開合雙面鋼化玻璃手機殼 4色,rootfocus HUAWEI Series Ballistic Tempered Screen Protector 4 Colors
120,eDELE MIT甜蜜圓舞曲蕾絲內褲 粉 L-XL,eDELE MIT Sweet Dancing Lace Panties Pink L-XL
121,eDELE MIT甜蜜圓舞曲蕾絲內褲 藍 L-XL,eDELE MIT Sweet Dancing Lace Panties Blue L-XL
122,eDELE MIT甜蜜圓舞曲蕾絲內褲 黑 L-XL,eDELE MIT Sweet Dancing Lace Panties Black L-XL
123,韓式作風 HUAWEI系列 質感布紋散熱防摔車載指環支架手機殼 5色,rootfocus HUAWEI Series Rugged Phone Ring Case Holder 5 Colors
124,eDELE 280丹遠紅外線全蕾絲高腰顯瘦竹炭束褲 膚 M-XXXL,eDELE 280 Dan Bamboo Seamless Lace Girdle Nude M-XXXL
125,eDELE 280丹遠紅外線全蕾絲高腰顯瘦竹炭束褲 紅 M-XXL,eDELE 280 Dan Bamboo Seamless Lace Girdle Red M-XXL
126,快潔適 博寶兒兒童牙膏 草莓口味 佩佩豬 80g,Probo Toothpaste Strawberry Peppa Pig 80g
127,eDELE 280丹遠紅外線全蕾絲高腰顯瘦竹炭束褲 紫 M-XXXL,eDELE 280 Dan Bamboo Seamless Lace Girdle Purple M-XXXL
128,韓式作風 超強三合一圓形磁吸快充傳輸充電線 3色可選,rootfocus Quick Charge 3-in-1 Charger
129,快潔適 深層護理潔口液 白茶薏仁 500ml,Against Anti-bacterial Mouthwash Job's Tears 500ml
130,eDELE 俏皮邦妮點點內褲 紫 F,eDELE Round Dot Panties Purple F
131,快潔適 抗菌漱口水-水蜜桃薄荷 500ml,Against Anti-bacterial Mouthwash Peach Mint 500ml
132,韓式作風 3A快充三合一伸縮好收納充電線 8色可選 iOS+Android+Type C,rootfocus Accepted 3-in-1 Charger
133,韓式作風 方便攜帶可愛小動物掛繩充電線 8色可選,rootfocus Lanyard Battery Charger
134,eDELE 俏皮邦妮點點可愛風格性感低脊心包覆內衣 紫 B-C,eDELE Round dot Cute Style Sexy Bra Purple B-C
135,韓式作風 OPPO系列 復古花藝圖騰邊框鑲鑽腕帶支架手機殼 4色,rootfocus OPPO Series Totem Phone Case Holder 4 Colors
136,eDELE 甜蜜圓舞曲HIDE美胸蕾絲大罩杯月牙提托內衣 藍 E-F,eDELE Lace Push-up Bra Blue E-F
137,韓式作風 OPPO系列 超火復古藍光相機造型公仔氣囊支架手機殼 2色,rootfocus OPPO Series Camera Style TPU Phone Case 2 Colors
138,韓式作風 OPPO系列 雙色漸變四角加固防摔手機殼 6色,rootfocus OPPO Series TPU Rugged Phone Case 6 Colors
139,韓式作風 OPPO系列 素色纖薄輕質微磨砂手機殼 6色,rootfocus OPPO Series Phone Case 6 Colors
140,韓式作風 OPPO系列 精緻璀璨智能鏡面立式免翻蓋手機殼 7色,rootfocus OPPO Series Phone Case Holder 7 Colors
141,韓式作風 OPPO系列 10D防爆抗指紋耐磨防偷窺鋼化膜 全屏,rootfocus OPPO Series 10D No Peeking Ballistic Tempered Screen Protector
142,ANGELARIEL 雷射系列HOLO指甲油 Karl 3D12,ANGELARIEL HOLO Nail Polish Karl 3D12
143,ANGELARIEL 金色貓眼3D指甲油 Archie AC004,ANGELARIEL 3D Nail Polish Freddie Archie AC004
144,ANGELARIEL 圓點 拉線彩繪雙頭筆,ANGELARIEL Nail Dot & Line Stick
145,ANGELARIEL 好耐磨防水頂級紅砂磨甲棒(雙面-180 & 240),ANGELARIEL Premium Red Emery Board (Double Sided-180 & 240)
146,直播日限定！10入組 寶媽咪 日本超強洗淨劑 洗衣機/馬桶洗淨 除菌消臭 165g/入,Live Limited！10-Pieces-Set Bao-Mommy Decontamination Powder Wash(165g)
147,12.12 Flash Sale 海綿包2入組 壁虎防滑神奇地板防滑劑 100ml,
148,12.12 Flash Sale Mini Queen 抒情美樂蒂極舒柔無鋼圈成套內衣褲組 A-G,12.12 Flash Sale Mini Queen Melody Wireless Bra & Panties (A-G)
149,ANGELARIEL 指甲油專用防溢膠,ANGELARIEL Liquid Palisade Easy-Peel Polish Barrier
150,eDELE 甜蜜圓舞曲HIDE美胸蕾絲大罩杯月牙提托內衣 黑 E-F,eDELE Lace Push-up Bra Black E-F
151,eDELE 甜蜜圓舞曲HIDE美胸蕾絲大罩杯月牙提托內衣 粉 E-F,eDELE Lace Push-up Bra Pink E-F
152,ANGELARIEL 飽和類光療系列指甲油 Leilani 175,ANGELARIEL Nail Polish Leilani 175
153,eDELE 甜蜜圓舞曲HIDE美胸蕾絲大罩杯月牙提托內衣 灰 E-F,eDELE Lace Push-up Bra Gray E-F
154,ANGELARIEL 飽和類光療系列指甲油 Isaac 218,ANGELARIEL Nail Polish Isaac 218
155,ANGELARIEL 飽和類光療系列指甲油 Bodhi 217,ANGELARIEL Nail Polish Bodhi 217
156,eDELE 愛葛絲蕾妮蕾絲集中性感低脊心包覆內衣 綠 A-B,eDELE Lace Sexy Bra Light Green A-B
157,12.12 Flash Sale CHECK2CHECK Kolin 時尚負離子魔法梳,12.12 Flash Sale CHECK2CHECK Kolin Ionic Magic Comb
158,ANGELARIEL 飽和類光療系列指甲油 Aryan 216,ANGELARIEL Nail Polish Aryan 216
159,12.12 Flash Sale 買2送1 健康食妍離子鈣60粒2瓶組 送體驗瓶14粒,Limited Edition Buy 2 Free 1 Nature Food Cover Calcium Lactate Capsules
160,Nature Tree 保濕安瓶 1.5ml×7入/盒,Nature Tree Moisture Essence Ampoule (1.5ml×7 pcs/box)
161,eDELE 愛葛絲蕾妮蕾絲集中性感低脊心包覆內衣 淺紫 A-B,eDELE Lace Sexy Bra Light Purple A-B
162,ANGELARIEL 飽和類光療系列指甲油 Julian 215,ANGELARIEL Nail Polish Julian 215
163,ANGELARIEL 飽和類光療系列指甲油 Miles 214,ANGELARIEL Nail Polish Miles 214
164,買3送3 Vincents World 深呼吸洗卸凝露3入組 送隨身包3入,Buy 3 Free 3 Vincents World Deep Breath Cleansing Gel 180ml Free Sample×3
165,Loving Family 科技天絲雙人涼被 3色,
166,3入組 德國樂美思 ph5.5極致修護保濕舒敏凍齡霜 50ml 送白金二輪滾珠按摩儀,3-pieces-set Numis med pH5.5 Night Face Care Cream 50ml Free Massager
167,Dore Dore 朵朵黑鑽石 日本果酸煥膚醫美皂80g 多規格可選 王思佳推薦,"Dore Dore DeAU Peel Soap(80g, optional)"
168,2入組 Dayla 復活草保濕柔膚化妝水 180ml,2-pieces-set Dayla Haberlea Refreshing Hydrating Toner (180ml)
169,48H Hot Deal 買1送2 DV 喜樂纖膠囊 30顆/盒 潘懷宗代言,
170,買1送1 森田藥粧 高純度玻尿酸超保濕靚白面膜15入,Buy 1 Free 1 Dr.Morita Hydrating & Whitening Serum Facial Mask 15 pcs
171,新客推薦免運組 森田藥粧 經典藍白乳液2瓶組,Dr.Morita Hyaluronic Acid Body Lotion(400ml)+Whitening Body Lotion(400ml)
172,DV 聰容活力飲 10包/盒,
173,eDELE 歐洲香緹經典雙重塑型全蠶絲無鋼圈內衣 紫 M-XXXL,eDELE Lace Wireless Bra Purple M-XXXL
174,eDELE 歐洲香緹經典雙重塑型全蠶絲無鋼圈內衣 黑 M-XXXL,eDELE Lace Wireless Bra Black M-XXXL
175,eDELE 歐洲香緹經典雙重塑型全蠶絲無鋼圈內衣 膚 M-XXXL,eDELE Lace Wireless Bra Nude M-XXXL
176,eDELE 420丹逆齡推脂平腹透氣蠶絲塑身衣 膚 M-XXL,eDELE 420 Dan Breathable Silk Shapewear Nude M-XXL
177,eDELE 420丹逆齡推脂平腹透氣蠶絲塑身衣 紫 M-XXL,eDELE 420 Dan Breathable Silk Shapewear Purple M-XXL
178,eDELE 420丹逆齡推脂平腹透氣蠶絲塑身衣 黑 M-XXL,eDELE 420 Dan Breathable Silk Shapewear Black M-XXL
179,eDELE 甜蜜圓舞曲HIDE美胸蕾絲大罩杯月牙提托內衣 黑 B-D,eDELE Lace Push-up Bra Black B-D
180,eDELE 甜蜜圓舞曲HIDE美胸蕾絲大罩杯月牙提托內衣 灰 B-D,eDELE Lace Push-up Bra Gray B-D
181,eDELE 甜蜜圓舞曲HIDE美胸蕾絲大罩杯月牙提托內衣 粉 B-D,eDELE Lace Push-up Bra Pink B-D
182,台灣茶人 日式頂級玄米抹茶粉 115g,Taiwan Teaman Japanese Brown Rice Matcha Powder 115g
183,eDELE 甜蜜圓舞曲HIDE美胸蕾絲大罩杯月牙提托內衣 藍 B-D,eDELE Lace Push-up Bra Blue B-D
184,台灣茶人 日式無糖頂級抹茶粉 115g,Taiwan Teaman Japanese Suger-free Matcha Powder 115g
185,1028 唇迷心竅好色唇釉 7ml 多色可選,1028 Velvet Kiss Rouge Lip Stain 7ml
186,eDELE 蕾絲莉莉內褲 藍 F,eDELE Lace Panty Blue F
187,eDELE 蕾絲莉莉集中包覆機能竹炭紗軟鋼圈內衣 藍 B-C,eDELE Bamboo Soft Rim Bra Blue B-C
188,12.12 Flash Sale 2件組 Solara超細柔極彈透氣蠶絲內褲 M-XXL,12.12 Flash Sale 2-Pieces-Set Solara Soft Material Breathable Silk Panties (M-XXL)
189,UNICAT 完美塑型3效眉筆棕色+輕透粉潤口紅筆,UNICAT 3D Micro Brow Pencil Brown+Pure Color Love Lipstick
190,免運！UNICAT 水潤保濕凝霜50ml×3+水潤保濕精華水150ml+極致8HR保水果凍面膜×2s,Free Shipping！UNICAT Perfect Beauty Extreme Hydrating Water Cream(50ml×3)+Essence Toner(150ml)+8HR Hydrating Mask(25ml×2)
191,MissDoll 任性寶貝 花紋蕾絲情趣性感吊襪帶 2色 F,MissDoll Flower Embroidered Garter 2 Colors F
192,DV TOKYO 冰原活萃童齡保養V臉拉提組,DV TOKYO Firming & Lifting Duo
193,MissDoll 遇見 甜美雙層蕾絲情趣性感吊襪帶 2色 F,MissDoll Sweet Double Layer Lace Garter 2 Colors F
194,MissDoll 溺愛 氣質裙擺情趣誘惑性感吊襪帶 2色 F,MissDoll Skirt Temptation Garter 2 Colors F
195,MissDoll 床第之間 點點珍珠蝴蝶結撞色性感情趣吊襪帶 2色 F,MissDoll Pearl Sexy Garter 2 Colors F
196,MissDoll 深深吸引 性感蕾絲吊襪帶 2色 F,MissDoll Sexy Lace Garter 2 Colors F
197,12.12 Flash Sale 落髮救星超值3瓶組 德國alkmene 大蕁麻養髮液×2+洗髮露×1 可任選,12.12 Flash Sale 3-Pieces-Set alkmene Nettle Hair Tonic(250ml)×2+Shampoo(250ml) Optional
198,MissDoll 純淨天使 表演舞者性感蕾絲新娘婚紗手環套 黑 F,MissDoll Lace Bracelet Set Black F
199,MissDoll 秘密禁地 性感吊襪帶 2色 F,MissDoll Sexy garter 2 Colors F
200,MissDoll 情話綿綿 性感吊襪帶 2色 F,MissDoll Sexy garter 2 Colors F
